Instance;betaLS;CostSol;time;Capacity;reliability;variance;stochastic_of;stochastic_capacity;deterministic;type_simulation;inversa;weight;seed
GKD-b_14_n50_b02_m5,txt;0,3;47,9;0,04409519000000728;14088,0;0,465;0,2;29,870499999999993;16001,351883729985;True;False;0,6;0,8;23456
GKD-b_14_n50_b02_m5,txt;0,3;45,7;0,0;13898,0;0,354;0,2;25,350999999999992;16321,636521017306;False;False;0,6;0,8;23456
GKD-b_14_n50_b02_m5,txt;0,3;47,9;0,02986366300001464;14088,0;0,482;0,2;47,9;14689,608536249869;True;True;0,6;0,8;764534
GKD-b_14_n50_b02_m5,txt;0,3;47,9;0,02986366300001464;14088,0;0,482;0,2;30,443399999999993;15957,900653564011;True;False;0,6;0,8;764534
GKD-b_14_n50_b02_m5,txt;0,3;47,8;0,25930794399982915;14070,0;0,459;0,2;29,6224;16016,735587437865;False;False;0,6;0,8;764534
GKD-b_15_n50_b02_m5,txt;0,3;109,9;4,927402151000024;14626,0;0,445;0,1;109,9;14306,947547221376;True;True;0,6;0,8;23456
GKD-b_15_n50_b02_m5,txt;0,3;109,9;4,927402151000024;14626,0;0,456;0,1;90,8056;16890,170208173935;True;False;0,6;0,8;23456
GKD-b_15_n50_b02_m5,txt;0,3;107,8;0,5552865360000396;14945,0;0,786;0,1;100,73799999999997;15757,472166167587;False;False;0,6;0,8;23456
GKD-b_15_n50_b02_m5,txt;0,3;109,9;3,2080795480001143;14626,0;0,441;0,1;109,9;14133,481855247119;True;True;0,6;0,8;764534
GKD-b_15_n50_b02_m5,txt;0,3;109,9;3,2080795480001143;14626,0;0,465;0,1;91,1215;16860,23470175355;True;False;0,6;0,8;764534
GKD-b_15_n50_b02_m5,txt;0,3;107,9;4,791281236000032;14953,0;0,806;0,1;101,4786;15688,288530580774;False;False;0,6;0,8;764534
GKD-b_15_n50_b02_m5,txt;0,3;109,9;4,611064662999979;14626,0;0,406;0,15;109,9;15402,08271994081;True;True;0,6;0,8;23456
GKD-b_15_n50_b02_m5,txt;0,3;109,9;4,611064662999979;14626,0;0,412;0,15;89,26119999999999;17105,181059735027;True;False;0,6;0,8;23456
GKD-b_15_n50_b02_m5,txt;0,3;107,9;2,7112144600000647;14990,0;0,681;0,15;97,34110000000001;16207,901318216569;False;False;0,6;0,8;23456
GKD-b_15_n50_b02_m5,txt;0,3;109,9;3,0551037519999227;14626,0;0,419;0,15;109,9;14485,260680088295;True;True;0,6;0,8;764534
GKD-b_15_n50_b02_m5,txt;0,3;109,9;3,0551037519999227;14626,0;0,406;0,15;92,02059999999999;17133,37906862851;True;False;0,6;0,8;764534
GKD-b_15_n50_b02_m5,txt;0,3;107,8;0,5353520439998647;15052,0;0,745;0,15;99,38499999999998;16014,64074842639;False;False;0,6;0,8;764534
GKD-b_15_n50_b02_m5,txt;0,3;109,9;4,791840273000162;14626,0;0,371;0,2;109,9;13084,42469122532;True;True;0,6;0,8;23456
GKD-b_15_n50_b02_m5,txt;0,3;109,9;4,791840273000162;14626,0;0,388;0,2;91,47879999999999;17223,888510796776;True;False;0,6;0,8;23456
GKD-b_15_n50_b02_m5,txt;0,3;107,9;45,0041891410001;14846,0;0,496;0,2;91,2176;16862,52173808916;False;False;0,6;0,8;23456
GKD-b_15_n50_b02_m5,txt;0,3;109,9;3,236806192000131;14626,0;0,355;0,2;109,9;14564,248229649626;True;True;0,6;0,8;764534
GKD-b_15_n50_b02_m5,txt;0,3;109,9;3,236806192000131;14626,0;0,356;0,2;87,2956;17343,172220360295;True;False;0,6;0,8;764534
GKD-b_15_n50_b02_m5,txt;0,3;106,3;2,498275308000302;15198,0;0,638;0,2;94,89699999999998;16466,236854554725;False;False;0,6;0,8;764534
GKD-b_16_n50_b02_m15,txt;0,3;39,0;0,003679614000247966;14848,0;0,574;0,1;39,0;14280,362459985845;True;True;0,6;0,8;23456
GKD-b_16_n50_b02_m15,txt;0,3;39,0;0,003679614000247966;14848,0;0,568;0,1;28,934399999999993;16616,86340434589;True;False;0,6;0,8;23456
GKD-b_16_n50_b02_m15,txt;0,3;39,0;0,523130017999847;14897,0;0,615;0,1;30,684;16453,842284326733;False;False;0,6;0,8;23456
